Fecha,Producto,Cantidad,Precio_unitario
2025-11-10,Galletas,10,1190
2025-11-08,Chocolate,5,4016
2025-11-16,Leche,4,1914
2025-11-28,Pan,10,1743
2025-11-29,Chocolate,6,1633
2025-11-13,Chocolate,1,4403
2025-11-30,Mantequilla,2,4549
2025-11-20,Mantequilla,2,3457
2025-11-18,Chocolate,9,4428
2025-11-14,Leche,7,4201
2025-11-21,Café,5,3044
2025-11-04,Té,1,2482
2025-11-24,Galletas,8,1118
2025-11-08,Arepa,9,2709
2025-11-03,Galletas,5,4749
2025-11-25,Queso,8,1817
2025-11-26,Pan,3,1909
2025-11-28,Mantequilla,5,1482
2025-11-21,Galletas,6,2699
2025-11-20,Arepa,3,1504
2025-11-22,Pan,6,2339
2025-11-25,Té,4,4741
2025-11-03,Mantequilla,6,2824
2025-11-08,Café,3,2191
2025-11-16,Leche,9,3628
2025-11-15,Mantequilla,1,4340
2025-11-08,Chocolate,5,3471
2025-11-03,Yogurt,9,4178
2025-11-22,Chocolate,2,4013
2025-11-24,Pan,2,2377
2025-11-08,Galletas,9,2681
2025-11-25,Café,4,2737
2025-11-03,Galletas,9,1349
2025-11-19,Yogurt,6,2047
2025-11-03,Galletas,4,1407
2025-11-27,Queso,7,2303
2025-11-05,Mantequilla,4,3871
2025-11-06,Galletas,7,3828
2025-11-04,Té,3,2050
2025-12-01,Café,4,4215
2025-11-30,Pan,2,2682
2025-11-30,Mantequilla,8,4708
2025-11-10,Yogurt,3,3742
2025-11-04,Té,3,4645
2025-11-20,Queso,10,1084
2025-11-16,Galletas,4,3283
2025-11-23,Pan,6,3109
2025-11-22,Queso,4,3522
2025-11-09,Galletas,9,1513
2025-11-06,Arepa,5,2203
2025-11-26,Pan,1,4086
2025-11-21,Leche,8,1426
2025-11-05,Arepa,2,3952
2025-11-08,Pan,6,2397
2025-11-21,Leche,5,3497
2025-11-16,Queso,2,3921
2025-11-25,Galletas,6,3985
2025-11-21,Yogurt,10,1816
2025-11-10,Café,9,2005
2025-11-30,Café,3,4258
2025-11-12,Té,7,2742
2025-11-09,Té,2,1857
2025-11-30,Arepa,10,4232
2025-11-05,Chocolate,7,3109
2025-12-01,Chocolate,1,4553
2025-11-27,Leche,8,2966
2025-11-03,Pan,1,1361
2025-11-20,Galletas,3,3292
2025-12-01,Café,2,4905
2025-11-16,Leche,6,4979
2025-11-05,Pan,5,3499
2025-12-01,Leche,6,3386
2025-11-26,Galletas,2,3276
2025-11-12,Yogurt,6,4627
2025-11-19,Leche,3,1411
2025-11-17,Café,5,2806
2025-12-01,Mantequilla,2,3585
2025-11-15,Galletas,3,4455
2025-11-11,Galletas,3,4983
2025-11-12,Galletas,2,4333
2025-11-11,Leche,10,4959
2025-11-16,Chocolate,1,4870
2025-11-24,Pan,6,3964
2025-11-24,Pan,7,2892
2025-11-07,Galletas,5,3319
2025-11-28,Leche,7,3114
2025-11-28,Leche,4,3601
2025-11-07,Pan,3,1316
2025-11-22,Chocolate,9,1808
2025-11-07,Mantequilla,1,1343
2025-11-08,Queso,5,4974
2025-11-06,Café,8,1981
2025-11-26,Café,2,3291
2025-11-29,Mantequilla,10,2759
2025-11-25,Queso,9,1971
2025-11-04,Café,7,2509
2025-11-08,Arepa,2,2512
2025-11-09,Leche,2,2196
2025-11-16,Arepa,8,2456
2025-11-25,Café,3,1218
2025-11-25,Arepa,3,1092
2025-12-01,Queso,10,4837
2025-11-23,Queso,9,4123
2025-11-03,Té,4,4950
2025-11-27,Té,8,2928
2025-11-30,Mantequilla,7,2841
2025-11-24,Chocolate,1,4537
2025-11-25,Arepa,1,3337
2025-11-16,Yogurt,4,1778
2025-11-19,Galletas,2,3536
2025-11-30,Café,6,1454
2025-11-14,Arepa,7,1002
2025-11-13,Arepa,8,4779
2025-11-28,Café,7,2584
2025-11-05,Arepa,2,2054
2025-11-08,Chocolate,1,3495
2025-11-20,Té,10,2186
2025-11-05,Leche,5,1860
2025-11-12,Yogurt,1,1160
2025-11-24,Queso,10,2227
2025-11-24,Queso,5,1629
2025-11-08,Café,6,2817
2025-11-20,Queso,1,3425
2025-11-29,Pan,2,3686
2025-11-08,Té,7,4849
2025-11-05,Pan,3,3949
2025-11-11,Queso,9,1293
2025-12-01,Yogurt,8,1973
2025-11-14,Yogurt,2,4895
2025-11-07,Pan,10,2706
2025-11-19,Pan,7,3630
2025-12-01,Té,3,3138
2025-11-07,Mantequilla,9,3871
2025-11-06,Queso,10,3134
2025-11-10,Leche,8,2334
2025-11-24,Pan,4,2258
2025-11-28,Mantequilla,4,3720
2025-11-09,Pan,10,3804
2025-11-12,Arepa,4,3596
2025-11-03,Arepa,10,1306
2025-11-04,Mantequilla,2,4990
2025-11-24,Pan,4,2083
2025-11-23,Té,6,1479
2025-11-12,Mantequilla,5,2517
2025-11-11,Café,8,1686
2025-11-17,Yogurt,1,2948
2025-11-15,Pan,7,2520
2025-11-18,Arepa,6,3211
2025-11-04,Arepa,4,3767
2025-11-28,Mantequilla,8,4562
2025-11-05,Pan,8,3773
2025-12-01,Té,8,4185
2025-11-19,Pan,10,1544
2025-11-22,Arepa,6,1280
2025-11-11,Té,9,4641
2025-11-19,Yogurt,7,1657
2025-11-08,Yogurt,10,4529
2025-11-13,Galletas,9,1442
2025-11-25,Arepa,4,3340
2025-11-12,Té,10,2471
2025-11-11,Leche,6,1803
2025-12-01,Café,5,3065
2025-11-10,Yogurt,8,2407
2025-11-15,Mantequilla,8,1791
2025-11-10,Mantequilla,2,3137
2025-11-28,Mantequilla,5,4814
2025-11-22,Pan,2,4965
2025-11-29,Arepa,8,2321
2025-11-06,Yogurt,10,1735
2025-11-27,Queso,4,4595
2025-11-18,Chocolate,7,3201
2025-11-13,Chocolate,10,1069
2025-11-07,Queso,4,3359
2025-11-30,Galletas,9,2579
2025-11-29,Leche,5,2835
2025-11-13,Leche,8,1614
2025-11-14,Arepa,9,2893
2025-11-08,Yogurt,5,1761
2025-11-07,Yogurt,9,1949
2025-11-16,Café,4,4438
2025-11-27,Queso,10,2906
2025-11-17,Yogurt,1,2593
2025-11-18,Café,7,3376
2025-11-16,Galletas,2,1842
2025-11-26,Té,7,2375
2025-11-27,Chocolate,3,4002
2025-11-24,Mantequilla,2,2907
2025-11-29,Pan,8,3448
2025-11-13,Queso,3,3702
2025-12-01,Arepa,9,1464
2025-11-23,Pan,9,3946
2025-11-07,Chocolate,6,4048
2025-11-19,Leche,8,2575
2025-11-28,Té,2,2071
2025-11-02,Té,1,3711
2025-11-24,Arepa,1,4335
2025-11-21,Té,4,1929
2025-11-21,Arepa,10,2275
2025-11-04,Pan,1,2856
2025-11-03,Mantequilla,6,4471
2025-11-22,Té,1,4947
2025-11-26,Galletas,9,1826
2025-11-06,Mantequilla,2,1646
2025-11-19,Leche,10,2263
2025-11-28,Galletas,6,4017
2025-11-23,Yogurt,9,4783
2025-11-08,Arepa,8,3596
2025-11-15,Yogurt,5,4215
2025-11-28,Galletas,2,1212
2025-12-01,Yogurt,6,1726
2025-11-18,Mantequilla,7,3983
2025-11-30,Mantequilla,9,2864
2025-11-02,Yogurt,6,1312
2025-11-12,Chocolate,3,2713
2025-11-11,Arepa,3,1346
2025-11-27,Queso,6,2146
2025-11-30,Queso,7,1723
2025-11-05,Arepa,5,2177
2025-11-18,Arepa,9,1040
2025-11-14,Chocolate,4,1756
2025-11-10,Queso,4,2113
2025-11-08,Chocolate,10,2908
2025-11-14,Leche,6,4599
2025-11-21,Leche,1,2813
2025-11-06,Galletas,3,2710
2025-11-28,Yogurt,7,2583
2025-11-13,Pan,6,3328
2025-11-05,Arepa,6,4091
2025-11-03,Arepa,3,1641
2025-11-18,Mantequilla,4,4298
2025-12-01,Té,2,4353
2025-11-05,Queso,1,1817
2025-11-15,Pan,9,4162
2025-12-01,Mantequilla,7,2969
2025-11-18,Té,6,2706
2025-11-08,Mantequilla,3,1199
2025-11-30,Pan,2,1141
2025-11-26,Galletas,6,3384
2025-11-25,Galletas,1,4092
2025-11-28,Pan,1,1669
2025-11-23,Té,6,3658
2025-11-04,Té,1,1274
2025-11-11,Yogurt,1,1033
2025-11-04,Arepa,10,3752
2025-11-27,Galletas,5,2915
2025-11-17,Café,7,1940
2025-11-14,Té,8,1026
2025-11-11,Mantequilla,1,1759
2025-12-01,Queso,2,1504
2025-11-15,Pan,10,1076
2025-11-24,Leche,4,1505
2025-11-22,Té,10,4294
2025-11-02,Chocolate,1,2064
2025-11-11,Queso,4,3878
2025-11-17,Pan,4,1060
2025-11-03,Chocolate,10,4105
2025-12-01,Chocolate,4,2607
2025-11-25,Galletas,4,2299
2025-11-21,Chocolate,10,4071
2025-11-30,Leche,10,2840
2025-11-09,Queso,10,4893
2025-11-12,Queso,4,3199
2025-11-27,Té,8,3058
2025-11-25,Yogurt,5,2098
2025-11-07,Té,6,3341
2025-11-29,Galletas,2,2531
2025-11-13,Mantequilla,4,1731
2025-11-19,Leche,2,1383
2025-11-12,Té,3,4709
2025-12-01,Chocolate,5,4935
2025-12-01,Mantequilla,5,1097
2025-11-08,Café,9,1427
2025-11-19,Leche,10,4984
2025-11-20,Té,4,2557
2025-11-30,Pan,8,1821
2025-11-23,Mantequilla,5,3182
2025-11-29,Café,6,2777
2025-11-08,Té,7,2501
2025-11-25,Té,4,1256
2025-11-09,Queso,8,4043
2025-11-05,Queso,8,2048
2025-11-13,Yogurt,6,4452
2025-11-14,Té,8,3502
2025-11-18,Queso,3,3742
2025-11-30,Té,5,2429
2025-11-24,Queso,2,1188
2025-11-07,Leche,10,3886
2025-11-18,Café,10,1869
2025-11-02,Galletas,2,2680
2025-11-05,Chocolate,2,1001
2025-11-26,Mantequilla,9,3730
2025-11-02,Mantequilla,1,3725
2025-11-06,Yogurt,1,1657
2025-11-29,Galletas,10,1026
2025-11-29,Mantequilla,1,1241
2025-11-04,Té,3,4488
2025-11-21,Mantequilla,1,4320
2025-11-17,Yogurt,10,2166
2025-11-06,Galletas,8,3805
2025-11-29,Galletas,10,2227
2025-11-06,Queso,8,4900
2025-11-28,Leche,6,4904
2025-11-30,Queso,2,1740
2025-11-12,Leche,4,2363
2025-11-27,Té,5,1024
2025-11-14,Leche,9,3641
2025-11-22,Queso,8,1623
2025-11-12,Café,5,4075
2025-11-04,Arepa,4,1426
2025-11-11,Arepa,10,3854
2025-11-07,Chocolate,1,4295
2025-11-23,Queso,3,4037
2025-11-21,Té,4,2268
2025-11-27,Chocolate,10,4899
2025-11-22,Yogurt,8,2704
2025-11-15,Arepa,6,3082
2025-12-01,Café,7,1505
2025-11-02,Chocolate,9,3280
2025-11-09,Yogurt,2,3247
2025-11-07,Yogurt,10,1083
2025-11-07,Leche,7,2070
2025-11-21,Pan,9,1602
2025-11-20,Leche,3,1827
2025-11-12,Pan,5,1226
2025-11-09,Queso,6,1317
2025-11-24,Queso,4,4127
2025-11-02,Té,2,1741
2025-11-30,Leche,7,2884
2025-11-14,Pan,5,3438
2025-11-30,Queso,1,4738
2025-11-23,Mantequilla,6,2332
2025-11-27,Leche,9,2587
2025-11-14,Arepa,1,4964
2025-11-14,Queso,5,3097
2025-11-17,Chocolate,6,3262
2025-11-15,Yogurt,5,2894
2025-11-08,Mantequilla,1,1856
2025-11-14,Galletas,6,2438
2025-11-17,Yogurt,2,2353
2025-11-17,Pan,4,3296
2025-11-03,Galletas,7,3728
2025-11-06,Galletas,3,4109
2025-11-16,Leche,5,3262
2025-12-01,Pan,4,1215
2025-11-27,Té,9,1954
2025-11-06,Arepa,4,4906
2025-11-04,Arepa,4,4563
2025-11-07,Arepa,6,3540
2025-11-27,Chocolate,10,3471
2025-11-07,Leche,1,3171
2025-11-17,Yogurt,6,3592
2025-11-27,Arepa,4,2371
2025-11-29,Arepa,7,1459
2025-11-07,Leche,8,3656
2025-11-21,Yogurt,9,4187
2025-11-29,Leche,8,2845
2025-11-30,Chocolate,8,4253
2025-11-24,Chocolate,7,1041
2025-11-25,Chocolate,1,3608
2025-11-18,Té,9,3590
2025-11-10,Mantequilla,3,4720
2025-11-08,Leche,2,2690
2025-11-15,Mantequilla,4,4510
2025-11-21,Té,3,4055
2025-11-23,Arepa,8,4302
2025-11-02,Yogurt,8,3202
2025-11-23,Arepa,5,1889
2025-11-19,Queso,7,1677
2025-11-11,Queso,1,3603
2025-11-20,Café,7,1683
2025-11-05,Arepa,7,2828
2025-11-30,Pan,6,3792
2025-11-15,Café,2,4813
2025-11-08,Chocolate,2,3020
2025-11-15,Mantequilla,10,4772
2025-11-15,Chocolate,2,4981
2025-11-06,Arepa,3,4364
2025-11-09,Pan,1,3852
2025-11-14,Mantequilla,6,4601
2025-11-29,Café,10,2321
2025-12-01,Mantequilla,8,1850
2025-11-15,Queso,8,3154
2025-11-05,Pan,2,2846
2025-11-23,Leche,5,4528
2025-11-03,Pan,8,2051
2025-11-17,Leche,1,1207
2025-11-23,Mantequilla,2,3729
2025-11-15,Yogurt,1,1805
2025-11-11,Arepa,5,1766
2025-11-22,Chocolate,2,4837
2025-11-19,Yogurt,9,1588
2025-11-21,Galletas,10,2291
2025-11-29,Mantequilla,3,1383
2025-11-19,Pan,2,3025
2025-11-19,Queso,7,4321
2025-11-08,Yogurt,5,3412
2025-11-26,Arepa,8,3315
2025-11-04,Pan,4,4960
2025-11-14,Café,2,2815
2025-11-21,Pan,10,1095
2025-11-04,Queso,7,1487
2025-11-17,Chocolate,8,3298
2025-11-30,Yogurt,6,4869
2025-11-16,Galletas,2,1442
2025-11-13,Yogurt,4,1700
2025-12-01,Queso,1,4251
2025-11-15,Galletas,5,4759
2025-11-28,Chocolate,6,4650
2025-11-02,Queso,4,1042
2025-11-22,Chocolate,8,3243
2025-11-16,Yogurt,4,4176
2025-11-19,Pan,3,3054
2025-11-02,Galletas,5,1399
2025-11-11,Yogurt,7,2260
2025-11-06,Leche,10,4571
2025-11-23,Leche,6,1773
2025-11-29,Queso,2,1084
2025-11-20,Arepa,7,3753
2025-11-18,Mantequilla,3,1148
2025-11-26,Leche,5,2550
2025-11-03,Té,9,2762
2025-11-26,Leche,8,2616
2025-11-13,Yogurt,10,3382
2025-11-21,Mantequilla,9,3528
2025-11-05,Queso,5,3514
2025-11-20,Queso,1,3805
2025-11-08,Galletas,7,3417
2025-11-09,Galletas,5,2924
2025-11-23,Queso,9,1742
2025-11-17,Queso,5,4380
2025-11-26,Té,7,4744
2025-11-09,Queso,1,1700
2025-11-24,Café,8,2766
2025-11-13,Galletas,8,2920
2025-11-05,Mantequilla,7,3535
2025-11-11,Pan,2,4024
2025-11-28,Galletas,4,1755
2025-11-09,Pan,2,4798
2025-11-19,Yogurt,4,4196
2025-11-08,Galletas,1,2485
2025-11-13,Chocolate,6,2452
2025-11-19,Té,8,2357
2025-11-15,Arepa,9,3331
2025-11-19,Leche,1,1784
2025-11-05,Chocolate,5,1791
2025-11-02,Chocolate,3,4042
2025-11-23,Yogurt,4,2600
2025-11-22,Té,10,1186
2025-11-17,Arepa,9,1676
2025-11-19,Té,9,4174
2025-11-11,Queso,3,4626
2025-11-11,Chocolate,8,1537
2025-11-09,Café,3,2752
2025-11-02,Galletas,2,3690
2025-11-07,Galletas,3,4915
2025-11-06,Mantequilla,10,4675
2025-11-16,Mantequilla,1,2991
2025-11-16,Chocolate,4,1185
2025-11-24,Queso,2,1530
2025-11-08,Galletas,8,1563
2025-11-12,Pan,3,3308
2025-11-06,Pan,1,4123
2025-12-01,Queso,9,3417
2025-11-13,Chocolate,3,3342
2025-11-09,Té,2,1246
2025-11-27,Café,4,1662
2025-11-26,Pan,5,4130
2025-11-05,Pan,2,4637
2025-11-29,Galletas,9,4141
2025-11-28,Leche,2,2839
2025-11-16,Arepa,7,3486
2025-11-30,Pan,7,3780
2025-11-16,Galletas,10,3876
2025-11-14,Café,1,4794
2025-12-01,Galletas,8,3878
2025-11-29,Mantequilla,10,4213
2025-11-21,Leche,3,1143
2025-11-25,Galletas,9,4991
2025-11-25,Mantequilla,10,4165
2025-11-21,Pan,9,2140
2025-11-16,Chocolate,3,4765
2025-11-27,Queso,10,2628
2025-11-02,Leche,10,3239
2025-11-21,Arepa,10,4965
2025-11-12,Pan,4,4869
2025-11-28,Galletas,4,3372
2025-11-05,Yogurt,7,3020
2025-11-02,Leche,8,3017
2025-11-11,Pan,1,2614
2025-11-27,Mantequilla,10,2291
2025-11-06,Chocolate,6,2196
2025-11-18,Yogurt,3,3021
2025-11-19,Queso,3,3719
2025-11-27,Mantequilla,1,1476
2025-11-07,Pan,8,4387
2025-11-13,Galletas,3,4617
2025-11-13,Yogurt,5,2789
2025-11-19,Chocolate,9,1358
2025-11-28,Galletas,5,3008
2025-11-07,Chocolate,5,1261
2025-11-03,Arepa,5,2930
2025-11-27,Yogurt,9,4723
2025-11-17,Arepa,5,1189
2025-11-08,Pan,7,3583
2025-11-27,Queso,9,3279
2025-11-16,Arepa,3,1052
2025-11-02,Queso,9,1482
2025-11-14,Arepa,8,1328
2025-11-28,Galletas,8,3864
2025-11-13,Yogurt,6,2627
2025-11-14,Café,7,1937
2025-11-22,Galletas,10,1120
2025-11-09,Galletas,9,3096
2025-11-17,Té,4,2390
2025-11-25,Queso,2,3615
2025-11-11,Yogurt,1,4660
2025-11-10,Queso,8,3899
2025-11-06,Pan,1,4931
2025-11-18,Mantequilla,2,2993
2025-11-15,Galletas,9,2342
2025-11-14,Pan,2,2734
2025-11-11,Café,1,2161
2025-11-02,Chocolate,2,1537
2025-11-25,Té,10,1728
2025-11-03,Pan,2,2701
2025-11-08,Leche,4,4515
2025-11-08,Mantequilla,5,4179
2025-11-08,Yogurt,2,4480
2025-11-28,Galletas,2,2647
2025-11-11,Chocolate,5,4724
2025-11-26,Queso,3,2108
2025-11-11,Galletas,10,1312
2025-11-17,Café,5,3046
2025-11-26,Galletas,10,1215
2025-11-02,Café,10,4039
2025-11-27,Queso,10,2363
2025-11-08,Queso,2,1478
2025-11-30,Queso,1,3860
2025-11-16,Chocolate,5,3673
2025-11-21,Chocolate,5,1151
2025-11-10,Pan,7,4461
2025-11-12,Pan,7,4076
2025-11-10,Pan,9,1005
2025-11-02,Leche,3,2577
2025-11-21,Mantequilla,4,3170
2025-11-06,Té,5,4552
2025-11-05,Queso,10,1189
2025-11-14,Galletas,6,4151
2025-11-15,Queso,8,3251
2025-11-30,Mantequilla,4,3409
2025-11-12,Té,3,1017
2025-11-09,Queso,2,4153
2025-11-22,Mantequilla,7,1039
2025-11-19,Arepa,6,4915
2025-11-05,Mantequilla,9,2440
2025-11-06,Chocolate,2,1438
2025-11-16,Pan,10,2662
2025-11-19,Chocolate,9,1968
2025-11-20,Pan,1,3937
2025-11-11,Yogurt,2,1566
2025-11-03,Chocolate,3,3723
2025-11-03,Galletas,2,1902
2025-11-14,Leche,10,4299
2025-11-23,Arepa,1,1118
2025-12-01,Yogurt,10,4267
2025-11-25,Café,4,1611
2025-11-19,Queso,1,3327
2025-11-20,Arepa,5,4656
2025-11-07,Leche,3,1520
2025-11-04,Mantequilla,1,1145
2025-11-02,Arepa,4,1299
2025-11-19,Mantequilla,1,3557
2025-11-05,Arepa,3,4252
2025-11-02,Mantequilla,6,2174
2025-11-26,Leche,8,2645
2025-11-12,Arepa,8,1295
2025-11-23,Chocolate,9,3437
2025-11-04,Yogurt,3,4373
2025-11-15,Queso,7,2843
2025-11-03,Queso,5,1683
2025-11-18,Leche,3,2668
2025-11-07,Mantequilla,4,3400
2025-11-05,Chocolate,10,4991
2025-11-03,Chocolate,8,3324
2025-11-03,Chocolate,1,3426
2025-11-12,Té,8,3096
2025-11-09,Pan,6,1231
2025-11-28,Galletas,5,1424
2025-11-29,Pan,5,1466
2025-11-29,Mantequilla,6,4624
2025-12-01,Yogurt,6,3745
2025-11-28,Café,8,3856
2025-11-12,Arepa,2,1038
2025-11-03,Mantequilla,8,4708
2025-11-27,Mantequilla,1,3552
2025-12-01,Pan,9,3486
2025-11-26,Mantequilla,1,4583
2025-11-03,Galletas,1,3521
2025-11-26,Chocolate,1,1922
2025-11-10,Café,4,2052
2025-11-02,Café,9,4522
2025-11-06,Arepa,3,2782
2025-11-27,Queso,7,2417
2025-11-02,Galletas,1,3423
2025-11-29,Mantequilla,3,2457
2025-11-26,Galletas,10,3450
2025-11-03,Arepa,1,2963
2025-11-04,Queso,8,4395
2025-11-26,Café,6,3670
2025-11-05,Leche,2,1792
2025-11-11,Chocolate,2,1581
2025-11-15,Arepa,2,3980
2025-11-10,Té,5,1412
2025-11-15,Galletas,5,1285
2025-11-15,Té,9,1525
2025-11-06,Pan,3,4782
2025-11-14,Yogurt,8,1200
2025-11-22,Pan,2,2293
2025-11-24,Mantequilla,3,2132
2025-11-11,Yogurt,7,3002
2025-11-03,Té,5,4120
2025-11-21,Leche,9,4691
2025-11-29,Arepa,4,2320
2025-11-10,Yogurt,2,1336
2025-11-29,Queso,9,4716
2025-12-01,Té,10,2954
2025-11-02,Leche,10,4498
2025-11-18,Mantequilla,4,4488
2025-11-23,Pan,6,2791
2025-11-07,Café,3,2355
2025-11-07,Mantequilla,6,4253
2025-11-08,Arepa,1,2687
2025-11-02,Arepa,1,2172
2025-11-23,Galletas,10,1892
2025-12-01,Yogurt,6,4771
2025-11-27,Leche,3,2902
2025-11-27,Pan,7,4066
2025-11-24,Té,9,4927
2025-11-05,Queso,1,4584
2025-11-06,Mantequilla,7,4715
2025-11-29,Chocolate,5,4348
2025-11-20,Arepa,9,1707
2025-11-06,Arepa,7,4207
2025-11-05,Queso,7,3169
2025-11-20,Arepa,7,2369
2025-11-17,Queso,1,2717
2025-11-11,Leche,10,2861
2025-11-25,Té,1,2301
2025-11-28,Yogurt,1,3436
2025-11-23,Queso,3,1684
2025-11-12,Galletas,10,4876
2025-11-24,Galletas,8,4154
2025-11-18,Té,3,1705
2025-11-07,Té,5,4785
2025-11-25,Café,3,4506
2025-11-19,Arepa,4,3049
2025-11-09,Té,2,4481
2025-11-07,Leche,9,1579
2025-11-22,Chocolate,5,2822
2025-11-05,Leche,4,3434
2025-12-01,Leche,10,2280
2025-11-28,Yogurt,3,3485
2025-11-12,Leche,2,2183
2025-11-30,Arepa,1,1053
2025-11-07,Café,5,4442
2025-11-17,Queso,8,1731
2025-11-17,Leche,7,3318
2025-11-25,Queso,5,1633
2025-11-30,Leche,4,2324
2025-11-26,Arepa,5,2694
2025-11-24,Té,2,3095
2025-12-01,Yogurt,6,4039
2025-11-29,Café,10,4359
2025-11-17,Mantequilla,3,2065
2025-11-11,Galletas,9,3394
2025-11-07,Mantequilla,9,2478
2025-11-30,Galletas,9,4745
2025-11-14,Chocolate,3,3731
2025-11-09,Mantequilla,9,3238
2025-11-23,Queso,5,4755
2025-11-05,Arepa,2,3428
2025-11-05,Queso,9,4655
2025-11-13,Mantequilla,2,2416
2025-11-28,Queso,6,4347
2025-11-20,Pan,3,1305
2025-11-28,Pan,10,1173
2025-11-23,Galletas,10,3091
2025-11-16,Café,9,1145
2025-11-13,Yogurt,2,3111
2025-11-09,Pan,7,2315
2025-11-17,Pan,8,2507
2025-11-13,Café,3,2674
2025-11-06,Arepa,1,2331
2025-11-21,Café,6,4065
2025-11-17,Mantequilla,2,4357
2025-11-24,Queso,1,1622
2025-11-17,Galletas,7,1233
2025-11-04,Café,2,4679
2025-11-08,Chocolate,5,4053
2025-11-11,Leche,7,1408
2025-12-01,Chocolate,9,2489
2025-11-17,Té,10,2054
2025-11-30,Arepa,3,3370
2025-11-29,Yogurt,5,2811
2025-11-19,Café,7,1345
2025-11-17,Pan,4,2658
2025-11-21,Leche,8,4176
2025-11-15,Yogurt,3,4813
2025-11-24,Mantequilla,7,1991
2025-11-11,Café,3,1732
2025-12-01,Café,7,1648
2025-11-28,Pan,5,1410
2025-11-02,Café,2,2940
2025-11-06,Arepa,7,2843
2025-11-26,Leche,7,3036
2025-11-27,Queso,4,1443
2025-11-16,Mantequilla,7,1790
2025-11-13,Galletas,5,4928
2025-11-17,Chocolate,1,1631
2025-11-05,Chocolate,9,3896
2025-11-14,Café,7,1830
2025-11-08,Mantequilla,9,4610
2025-11-21,Pan,8,2730
2025-11-02,Queso,6,1165
2025-11-18,Café,1,4629
2025-11-02,Café,3,3755
2025-11-14,Mantequilla,5,2066
2025-11-17,Mantequilla,9,4080
2025-11-04,Pan,1,3894
2025-11-25,Café,2,2531
2025-11-11,Mantequilla,5,4174
2025-11-02,Chocolate,1,4136
2025-11-10,Yogurt,1,1680
2025-11-23,Pan,3,1452
2025-11-17,Té,1,4785
2025-11-19,Mantequilla,9,2122
2025-11-15,Té,6,2436
2025-11-27,Té,4,3604
2025-11-19,Queso,10,1188
2025-11-12,Té,2,3488
